Date,AKER BP,DNB BANK,EQUINOR,GJENSIDIGE FORSIKR,HAFNIA LIMITED,HÖEGH AUTOLINERS,KONGSBERG GRUPPEN,MOWI,NEL,NORSK HYDRO,ORKLA,REACH SUBSEA,TELENOR,YARA INTERNATIONAL
2025-01-08,243.3,229.2,284.32814,203.3638,63.0,112.8,261.6,193.5,2.865,62.68,93.841176,7.5,127.8,307.1
2025-01-09,245.2,228.5,284.82073,208.14414,62.95,110.0,252.2,197.15,3.013,64.48,96.877494,7.42,128.4,311.1
2025-01-10,252.2,229.4,289.74672,204.35971,67.5,114.5,249.4,195.2,2.825,64.38,95.26445,7.54,127.9,314.1
2025-01-13,256.1,232.1,293.68752,205.35561,69.15,112.3,243.8,193.55,2.101,65.32,93.936061,7.42,127.9,317.2
2025-01-14,255.4,233.8,286.39705,206.94906,69.15,110.0,246.8,197.3,2.266,65.44,93.461637,7.4,128.2,327.3
2025-01-15,255.3,235.7,286.88965,209.33923,67.85,108.1,247.2,202.4,2.25,66.92,92.987212,7.36,129.5,333.8
2025-01-16,254.0,236.5,280.73216,208.94087,66.25,109.2,248.0,207.6,2.175,67.14,93.509079,7.6,130.7,329.6
2025-01-17,256.5,237.8,281.37254,208.94087,62.7,104.6,251.0,210.3,2.251,68.7,94.315601,7.58,132.6,332.0
2025-01-20,252.2,237.7,277.28397,208.54251,58.85,104.0,255.2,210.6,2.329,69.48,94.695141,7.6,134.1,333.3
2025-01-21,247.8,238.6,271.02796,210.33514,57.7,105.2,259.0,210.9,2.266,67.42,95.169565,7.62,134.0,334.3
2025-01-22,248.1,238.5,268.90979,212.12776,57.2,104.4,268.0,211.7,2.211,66.68,94.837468,7.62,133.0,332.0
2025-01-23,249.3,241.4,272.40724,208.14414,58.85,106.4,274.2,215.6,2.208,66.48,94.410486,7.7,135.9,332.0
2025-01-24,240.0,240.4,263.9838,226.86716,56.7,104.6,274.0,214.8,2.23,66.7,95.549105,7.72,132.7,328.6
2025-01-27,239.0,241.5,263.93454,230.85078,58.2,105.0,271.0,215.5,2.226,65.26,96.877494,7.7,135.0,333.3
2025-01-28,238.8,244.3,261.71784,232.44423,56.85,105.0,269.8,219.6,2.338,65.32,97.731458,7.76,136.4,338.5
2025-01-29,238.2,245.6,266.59457,231.04996,57.6,106.2,272.2,221.8,2.278,66.38,98.680307,7.84,138.1,338.9
2025-01-30,237.2,244.1,267.48125,232.44423,58.85,105.3,270.0,230.0,2.368,67.76,99.913811,8.0,138.8,345.0
2025-01-31,236.7,240.8,269.59943,231.24914,59.85,103.1,269.2,227.3,2.375,66.96,99.913811,7.86,138.4,339.0
2025-02-03,236.1,238.2,269.30387,231.6475,60.05,102.3,267.6,218.8,2.233,66.04,98.110997,7.66,138.2,333.8
2025-02-04,240.8,240.2,273.688,233.44013,62.25,104.5,265.2,219.2,2.302,66.38,97.446803,7.82,138.9,336.6
2025-02-05,245.0,243.0,262.40748,231.04996,60.75,102.7,262.0,217.5,2.31,66.1,97.351918,8.06,138.4,335.1
2025-02-06,243.0,243.5,258.86077,229.65569,59.6,103.3,257.2,216.4,2.279,68.58,98.395652,8.3,140.7,334.0
2025-02-07,245.0,240.1,260.2893,229.25733,60.0,104.3,241.6,215.8,2.341,67.78,98.395652,8.28,139.8,310.3
2025-02-10,251.7,240.3,268.46645,227.4647,59.0,101.6,226.6,217.3,2.34,67.2,98.964962,8.5,138.8,312.6
2025-02-11,257.6,241.2,277.33323,229.85487,60.55,104.8,226.6,218.9,2.222,65.68,99.154731,8.6,139.5,320.0
2025-02-12,249.1,237.2,265.85567,229.65569,60.8,106.9,227.0,216.3,2.232,65.7,98.016113,7.8,139.7,316.8
2025-02-13,245.4,238.9,256.95,228.85897,59.5,104.7,227.8,219.5,2.335,66.74,103.04501,7.86,139.5,322.1
2025-02-14,245.7,239.8,257.7,227.26552,57.85,94.9,230.2,222.5,2.359,65.82,102.00128,7.72,138.6,323.1
2025-02-17,237.1,242.8,252.65,229.05815,55.1,92.55,246.0,221.0,2.44,67.52,102.4757,7.48,138.6,327.2
2025-02-18,237.5,243.9,253.0,228.26143,57.15,93.65,249.0,219.9,2.438,65.88,101.14731,7.46,139.2,329.6
2025-02-19,239.6,249.8,260.15,225.47289,57.05,90.9,256.2,219.0,2.44,66.06,100.48312,7.48,139.2,321.9
2025-02-20,240.7,249.4,259.4,224.07862,56.1,88.45,257.0,216.2,2.424,67.76,100.38824,7.4,140.0,317.8
2025-02-21,238.2,252.6,258.15,223.68026,56.2,86.7,267.4,215.3,2.357,66.44,101.14731,7.48,141.2,320.5
2025-02-24,235.3,254.3,258.1,225.87125,55.1,82.05,265.0,214.4,2.28,66.78,102.4757,7.36,142.5,324.0
2025-02-25,233.8,254.1,253.95,226.4688,54.55,77.85,269.6,215.0,2.22,66.62,102.09616,7.3,145.1,327.3
